unset key
set xrange[-10:70]
set yrange[-10:70]
set size ratio -1
set parametric
set trange [0:7]
set isosamples 12
20 10
19.8062 10.6319
19.8053 10.6349
19.8043 10.6379
19.8034 10.6409
19.8025 10.644
19.8015 10.647
19.8006 10.65
19.7997 10.653
19.7988 10.656
19.7978 10.6591
19.7969 10.6621
19.796 10.6651
19.7951 10.6681
19.7941 10.6712
19.7932 10.6742
19.7923 10.6772
19.7913 10.6802
19.7904 10.6833
19.7895 10.6863
19.7886 10.6893
19.7876 10.6923
19.7867 10.6953
19.7858 10.6984
19.7849 10.7014
19.7839 10.7044
19.783 10.7074
19.7821 10.7105
19.7811 10.7135
19.7802 10.7165
19.7793 10.7195
19.7784 10.7226
19.7774 10.7256
19.7765 10.7286
19.7756 10.7316
19.7747 10.7346
19.7737 10.7377
19.7728 10.7407
19.7719 10.7437
19.7709 10.7467
19.77 10.7498
19.7691 10.7528
19.7682 10.7558
19.7672 10.7588
19.7663 10.7619
19.7654 10.7649
19.7645 10.7679
19.7635 10.7709
19.7626 10.774
19.7617 10.777
19.7607 10.78
19.7598 10.783
19.7589 10.786
19.758 10.7891
19.757 10.7921
19.7561 10.7951
19.7552 10.7981
19.7542 10.8012
19.7533 10.8042
19.7524 10.8072
19.7515 10.8102
19.7505 10.8133
19.7496 10.8163
19.7487 10.8193
19.7478 10.8223
19.7468 10.8253
19.7459 10.8284
19.745 10.8314
19.744 10.8344
19.7431 10.8374
19.7422 10.8405
19.7413 10.8435
19.7403 10.8465
19.7394 10.8495
19.7385 10.8526
19.7376 10.8556
19.7366 10.8586
19.7357 10.8616
19.7348 10.8646
19.7338 10.8677
19.7329 10.8707
19.732 10.8737
19.7311 10.8767
19.7301 10.8798
19.7292 10.8828
19.7283 10.8858
19.7274 10.8888
19.7264 10.8919
19.7255 10.8949
19.7246 10.8979
19.7236 10.9009
19.7227 10.904
19.7218 10.907
19.7209 10.91
19.7199 10.913
19.719 10.916
19.7181 10.9191
19.7172 10.9221
19.7162 10.9251
19.7153 10.9281
19.7144 10.9312
19.7134 10.9342
19.7125 10.9372
19.7116 10.9402
19.7107 10.9433
19.7097 10.9463
19.7088 10.9493
19.7079 10.9523
19.707 10.9553
19.706 10.9584
19.7051 10.9614
19.7042 10.9644
19.7032 10.9674
19.7023 10.9705
19.7014 10.9735
19.7005 10.9765
19.6995 10.9795
19.6986 10.9826
19.6977 10.9856
19.6968 10.9886
19.6958 10.9916
19.6949 10.9946
19.694 10.9977
19.693 11.0007
19.6921 11.0037
19.6912 11.0067
19.6903 11.0098
19.6893 11.0128
19.6884 11.0158
19.6875 11.0188
19.6866 11.0219
19.6856 11.0249
19.6847 11.0279
19.6838 11.0309
19.6828 11.0339
19.6819 11.037
19.681 11.04
19.6801 11.043
19.6791 11.046
19.6782 11.0491
19.6773 11.0521
19.6764 11.0551
19.6754 11.0581
19.6745 11.0612
19.6736 11.0642
19.6726 11.0672
19.6717 11.0702
19.6708 11.0733
19.6699 11.0763
19.6689 11.0793
19.668 11.0823
19.6671 11.0853
19.6662 11.0884
19.6652 11.0914
19.6643 11.0944
19.6634 11.0974
19.6624 11.1005
19.6615 11.1035
19.6606 11.1065
19.6597 11.1095
19.6587 11.1126
19.6578 11.1156
19.6569 11.1186
19.6559 11.1216
19.655 11.1246
19.6541 11.1277
19.6532 11.1307
19.6522 11.1337
19.6513 11.1367
19.6504 11.1398
19.6495 11.1428
19.6485 11.1458
plot 0,0  , 8.57143*t,0 , 8.57143*t,60 , 0,8.57143*t , 60,8.57143*t , 11.1828+2*cos(t),9.78781+2*sin(t) , 19.6476+2*cos(t),11.1488+2*sin(t) , 31.1971+2*cos(t),9.8954+2*sin(t) , 39.5861+2*cos(t),11.1281+2*sin(t) , 49.3199+2*cos(t),10.9907+2*sin(t) , 8.98062+2*cos(t),20.6363+2*sin(t) , 18.8228+2*cos(t),20.2411+2*sin(t) , 30.3963+2*cos(t),18.8655+2*sin(t) , 41.1367+2*cos(t),19.6102+2*sin(t) , 49.0142+2*cos(t),20.6872+2*sin(t) , 9.21001+2*cos(t),29.0945+2*sin(t) , 18.802+2*cos(t),29.906+2*sin(t) , 28.8191+2*cos(t),29.7777+2*sin(t) , 40.8975+2*cos(t),30.799+2*sin(t) , 51.2007+2*cos(t),29.9511+2*sin(t) , 8.80625+2*cos(t),40.1377+2*sin(t) , 20.9263+2*cos(t),40.7655+2*sin(t) , 28.8022+2*cos(t),40.0963+2*sin(t) , 38.8064+2*cos(t),40.1386+2*sin(t) , 51.2003+2*cos(t),39.9427+2*sin(t) , 9.69605+2*cos(t),48.8374+2*sin(t) , 20.2174+2*cos(t),48.8182+2*sin(t) , 30.3312+2*cos(t),48.8449+2*sin(t) , 40.7683+2*cos(t),50.9239+2*sin(t) , 49.6237+2*cos(t),48.8588+2*sin(t)
19.6476 11.1488
19.6467 11.1519
19.6457 11.1549
19.6448 11.1579
19.6439 11.1609
19.643 11.1639
19.642 11.167
19.6411 11.17
19.6402 11.173
19.6393 11.176
19.6383 11.1791
19.6374 11.1821
19.6365 11.1851
19.6355 11.1881
19.6346 11.1912
19.6337 11.1942
19.6328 11.1972
19.6318 11.2002
19.6309 11.2033
19.63 11.2063
19.6291 11.2093
19.6281 11.2123
19.6272 11.2153
19.6263 11.2184
19.6253 11.2214
19.6244 11.2244
19.6235 11.2274
19.6226 11.2305
19.6216 11.2335
19.6207 11.2365
19.6198 11.2395
19.6189 11.2426
19.6179 11.2456
19.617 11.2486
19.6161 11.2516
19.6151 11.2546
19.6142 11.2577
19.6133 11.2607
19.6124 11.2637
19.6114 11.2667
19.6105 11.2698
19.6096 11.2728
19.6087 11.2758
19.6077 11.2788
19.6068 11.2819
19.6059 11.2849
19.6049 11.2879
19.604 11.2909
19.6031 11.2939
19.6022 11.297
19.6012 11.3
19.6003 11.303
19.5994 11.306
19.5985 11.3091
19.5975 11.3121
19.5966 11.3151
19.5957 11.3181
19.5947 11.3212
19.5938 11.3242
19.5929 11.3272
19.592 11.3302
19.591 11.3333
19.5901 11.3363
19.5892 11.3393
19.5883 11.3423
19.5873 11.3453
19.5864 11.3484
19.5855 11.3514
19.5845 11.3544
19.5836 11.3574
19.5827 11.3605
19.5818 11.3635
19.5808 11.3665
19.5799 11.3695
19.579 11.3726
19.5781 11.3756
19.5771 11.3786
19.5762 11.3816
19.5753 11.3846
19.5743 11.3877
19.5734 11.3907
19.5725 11.3937
19.5716 11.3967
19.5706 11.3998
19.5697 11.4028
19.5688 11.4058
19.5679 11.4088
19.5669 11.4119
19.566 11.4149
19.5651 11.4179
19.5641 11.4209
19.5632 11.4239
19.5623 11.427
19.5614 11.43
19.5604 11.433
19.5595 11.436
19.5586 11.4391
19.5576 11.4421
19.5567 11.4451
19.5558 11.4481
19.5549 11.4512
19.5539 11.4542
19.553 11.4572
19.5521 11.4602
19.5512 11.4633
19.5502 11.4663
19.5493 11.4693
19.5484 11.4723
19.5474 11.4753
19.5465 11.4784
19.5456 11.4814
19.5447 11.4844
19.5437 11.4874
19.5428 11.4905
19.5419 11.4935
19.541 11.4965
19.54 11.4995
19.5391 11.5026
19.5382 11.5056
19.5372 11.5086
19.5363 11.5116
19.5354 11.5146
19.5345 11.5177
19.5335 11.5207
19.5326 11.5237
19.5317 11.5267
19.5308 11.5298
19.5298 11.5328
19.5289 11.5358
19.528 11.5388
19.527 11.5419
19.5261 11.5449
19.5252 11.5479
19.5243 11.5509
19.5233 11.5539
19.5224 11.557
19.5215 11.56
19.5206 11.563
19.5196 11.566
19.5187 11.5691
19.5178 11.5721
19.5168 11.5751
19.5159 11.5781
19.515 11.5812
19.5141 11.5842
19.5131 11.5872
19.5122 11.5902
19.5113 11.5932
19.5104 11.5963
19.5094 11.5993
19.5085 11.6023
19.5076 11.6053
19.5066 11.6084
19.5057 11.6114
19.5048 11.6144
19.5039 11.6174
19.5029 11.6205
19.502 11.6235
19.5011 11.6265
19.5002 11.6295
19.4992 11.6326
19.4983 11.6356
19.4974 11.6386
19.4964 11.6416
19.4955 11.6446
19.4946 11.6477
19.4937 11.6507
19.4927 11.6537
19.4918 11.6567
19.4909 11.6598
19.49 11.6628
19.489 11.6658
19.4881 11.6688
19.4872 11.6719
19.4862 11.6749
19.4853 11.6779
19.4844 11.6809
19.4835 11.6839
19.4825 11.687
19.4816 11.69
19.4807 11.693
19.4798 11.696
19.4788 11.6991
19.4779 11.7021
19.477 11.7051
19.476 11.7081
19.4751 11.7112
19.4742 11.7142
19.4733 11.7172
19.4723 11.7202
plot 0,0  , 8.57143*t,0 , 8.57143*t,60 , 0,8.57143*t , 60,8.57143*t , 11.7742+2*cos(t),9.68172+2*sin(t) , 19.4714+2*cos(t),11.7232+2*sin(t) , 31.7957+2*cos(t),9.8431+2*sin(t) , 39.3791+2*cos(t),11.6922+2*sin(t) , 48.9798+2*cos(t),11.486+2*sin(t) , 8.47093+2*cos(t),20.9544+2*sin(t) , 18.2342+2*cos(t),20.3617+2*sin(t) , 30.5944+2*cos(t),18.2983+2*sin(t) , 41.705+2*cos(t),19.4153+2*sin(t) , 48.5213+2*cos(t),21.0308+2*sin(t) , 8.81502+2*cos(t),28.6418+2*sin(t) , 18.203+2*cos(t),29.859+2*sin(t) , 28.2286+2*cos(t),29.6665+2*sin(t) , 41.3463+2*cos(t),31.1985+2*sin(t) , 51.801+2*cos(t),29.9266+2*sin(t) , 8.20937+2*cos(t),40.2065+2*sin(t) , 21.3894+2*cos(t),41.1483+2*sin(t) , 28.2033+2*cos(t),40.1445+2*sin(t) , 38.2095+2*cos(t),40.2079+2*sin(t) , 51.8004+2*cos(t),39.914+2*sin(t) , 9.54408+2*cos(t),48.2561+2*sin(t) , 20.3261+2*cos(t),48.2273+2*sin(t) , 30.4968+2*cos(t),48.2673+2*sin(t) , 41.1525+2*cos(t),51.3859+2*sin(t) , 49.4356+2*cos(t),48.2882+2*sin(t)
19.4714 11.7232
19.4705 11.7263
19.4696 11.7293
19.4686 11.7323
19.4677 11.7353
19.4668 11.7384
19.4658 11.7414
19.4649 11.7444
19.464 11.7474
19.4631 11.7505
19.4621 11.7535
19.4612 11.7565
19.4603 11.7595
19.4593 11.7626
19.4584 11.7656
19.4575 11.7686
19.4566 11.7716
19.4556 11.7746
19.4547 11.7777
19.4538 11.7807
19.4529 11.7837
19.4519 11.7867
19.451 11.7898
19.4501 11.7928
19.4491 11.7958
19.4482 11.7988
19.4473 11.8019
19.4464 11.8049
19.4454 11.8079
19.4445 11.8109
19.4436 11.8139
19.4427 11.817
19.4417 11.82
19.4408 11.823
19.4399 11.826
19.4389 11.8291
19.438 11.8321
19.4371 11.8351
19.4362 11.8381
19.4352 11.8412
19.4343 11.8442
19.4334 11.8472
19.4325 11.8502
19.4315 11.8532
19.4306 11.8563
19.4297 11.8593
19.4287 11.8623
19.4278 11.8653
19.4269 11.8684
19.426 11.8714
19.425 11.8744
19.4241 11.8774
19.4232 11.8805
19.4223 11.8835
19.4213 11.8865
19.4204 11.8895
19.4195 11.8926
19.4185 11.8956
19.4176 11.8986
19.4167 11.9016
19.4158 11.9046
19.4148 11.9077
19.4139 11.9107
19.413 11.9137
19.4121 11.9167
19.4111 11.9198
19.4102 11.9228
19.4093 11.9258
19.4083 11.9288
19.4074 11.9319
19.4065 11.9349
19.4056 11.9379
19.4046 11.9409
19.4037 11.9439
19.4028 11.947
19.4019 11.95
19.4009 11.953
19.4 11.956
19.3991 11.9591
19.3981 11.9621
19.3972 11.9651
19.3963 11.9681
19.3954 11.9712
19.3944 11.9742
19.3935 11.9772
19.3926 11.9802
19.3917 11.9832
19.3907 11.9863
19.3898 11.9893
19.3889 11.9923
19.3879 11.9953
19.387 11.9984
19.3861 12.0014
19.3852 12.0044
19.3842 12.0074
19.3833 12.0105
19.3824 12.0135
19.3815 12.0165
19.3805 12.0195
19.3796 12.0226
19.3787 12.0256
19.3777 12.0286
19.3768 12.0316
19.3759 12.0346
19.375 12.0377
19.374 12.0407
19.3731 12.0437
19.3722 12.0467
19.3713 12.0498
19.3703 12.0528
19.3694 12.0558
19.3685 12.0588
19.3675 12.0619
19.3666 12.0649
19.3657 12.0679
19.3648 12.0709
19.3638 12.0739
19.3629 12.077
19.362 12.08
19.361 12.083
19.3601 12.086
19.3592 12.0891
19.3583 12.0921
19.3573 12.0951
19.3564 12.0981
19.3555 12.1012
19.3546 12.1042
19.3536 12.1072
19.3527 12.1102
19.3518 12.1132
19.3508 12.1163
19.3499 12.1193
19.349 12.1223
19.3481 12.1253
19.3471 12.1284
19.3462 12.1314
19.3453 12.1344
19.3444 12.1374
19.3434 12.1405
19.3425 12.1435
19.3416 12.1465
19.3406 12.1495
19.3397 12.1525
19.3388 12.1556
19.3379 12.1586
19.3369 12.1616
19.336 12.1646
19.3351 12.1677
19.3342 12.1707
19.3332 12.1737
19.3323 12.1767
19.3314 12.1798
19.3304 12.1828
19.3295 12.1858
19.3286 12.1888
19.3277 12.1919
19.3267 12.1949
19.3258 12.1979
19.3249 12.2009
19.324 12.2039
19.323 12.207
19.3221 12.21
19.3212 12.213
19.3202 12.216
19.3193 12.2191
19.3184 12.2221
19.3175 12.2251
19.3165 12.2281
19.3156 12.2312
19.3147 12.2342
19.3138 12.2372
19.3128 12.2402
19.3119 12.2432
19.311 12.2463
19.31 12.2493
19.3091 12.2523
19.3082 12.2553
19.3073 12.2584
19.3063 12.2614
19.3054 12.2644
19.3045 12.2674
19.3036 12.2705
19.3026 12.2735
19.3017 12.2765
19.3008 12.2795
19.2998 12.2825
19.2989 12.2856
19.298 12.2886
19.2971 12.2916
19.2961 12.2946
plot 0,0  , 8.57143*t,0 , 8.57143*t,60 , 0,8.57143*t , 60,8.57143*t , 12.3656+2*cos(t),9.57563+2*sin(t) , 19.2952+2*cos(t),12.2977+2*sin(t) , 32.3942+2*cos(t),9.79081+2*sin(t) , 39.1722+2*cos(t),12.2563+2*sin(t) , 48.6397+2*cos(t),11.9813+2*sin(t) , 7.96123+2*cos(t),21.2726+2*sin(t) , 17.6455+2*cos(t),20.4822+2*sin(t) , 30.7925+2*cos(t),17.7311+2*sin(t) , 42.2734+2*cos(t),19.2204+2*sin(t) , 48.0284+2*cos(t),21.3744+2*sin(t) , 8.42003+2*cos(t),28.189+2*sin(t) , 17.604+2*cos(t),29.812+2*sin(t) , 27.6382+2*cos(t),29.5554+2*sin(t) , 41.7951+2*cos(t),31.598+2*sin(t) , 52.4013+2*cos(t),29.9022+2*sin(t) , 7.6125+2*cos(t),40.2754+2*sin(t) , 21.8526+2*cos(t),41.531+2*sin(t) , 27.6044+2*cos(t),40.1927+2*sin(t) , 37.6127+2*cos(t),40.2772+2*sin(t) , 52.4006+2*cos(t),39.8853+2*sin(t) , 9.39211+2*cos(t),47.6748+2*sin(t) , 20.4349+2*cos(t),47.6363+2*sin(t) , 30.6625+2*cos(t),47.6898+2*sin(t) , 41.5367+2*cos(t),51.8479+2*sin(t) , 49.2474+2*cos(t),47.7175+2*sin(t)
19.2952 12.2977
19.2943 12.3007
19.2934 12.3037
19.2924 12.3067
19.2915 12.3098
19.2906 12.3128
19.2896 12.3158
19.2887 12.3188
19.2878 12.3219
19.2869 12.3249
19.2859 12.3279
19.285 12.3309
19.2841 12.3339
19.2832 12.337
19.2822 12.34
19.2813 12.343
19.2804 12.346
19.2794 12.3491
19.2785 12.3521
19.2776 12.3551
19.2767 12.3581
19.2757 12.3612
19.2748 12.3642
19.2739 12.3672
19.273 12.3702
19.272 12.3732
19.2711 12.3763
19.2702 12.3793
19.2692 12.3823
19.2683 12.3853
19.2674 12.3884
19.2665 12.3914
19.2655 12.3944
19.2646 12.3974
19.2637 12.4005
19.2627 12.4035
19.2618 12.4065
19.2609 12.4095
19.26 12.4125
19.259 12.4156
19.2581 12.4186
19.2572 12.4216
19.2563 12.4246
19.2553 12.4277
19.2544 12.4307
19.2535 12.4337
19.2525 12.4367
19.2516 12.4398
19.2507 12.4428
19.2498 12.4458
19.2488 12.4488
19.2479 12.4519
19.247 12.4549
19.2461 12.4579
19.2451 12.4609
19.2442 12.4639
19.2433 12.467
19.2423 12.47
19.2414 12.473
19.2405 12.476
19.2396 12.4791
19.2386 12.4821
19.2377 12.4851
19.2368 12.4881
19.2359 12.4912
19.2349 12.4942
19.234 12.4972
19.2331 12.5002
19.2321 12.5032
19.2312 12.5063
19.2303 12.5093
19.2294 12.5123
19.2284 12.5153
19.2275 12.5184
19.2266 12.5214
19.2257 12.5244
19.2247 12.5274
19.2238 12.5305
19.2229 12.5335
19.2219 12.5365
19.221 12.5395
19.2201 12.5425
19.2192 12.5456
19.2182 12.5486
19.2173 12.5516
19.2164 12.5546
19.2155 12.5577
19.2145 12.5607
19.2136 12.5637
19.2127 12.5667
19.2117 12.5698
19.2108 12.5728
19.2099 12.5758
19.209 12.5788
19.208 12.5819
19.2071 12.5849
19.2062 12.5879
19.2053 12.5909
19.2043 12.5939
19.2034 12.597
19.2025 12.6
19.2015 12.603
19.2006 12.606
19.1997 12.6091
19.1988 12.6121
19.1978 12.6151
19.1969 12.6181
19.196 12.6212
19.1951 12.6242
19.1941 12.6272
19.1932 12.6302
19.1923 12.6332
19.1913 12.6363
19.1904 12.6393
19.1895 12.6423
19.1886 12.6453
19.1876 12.6484
19.1867 12.6514
19.1858 12.6544
19.1849 12.6574
19.1839 12.6605
19.183 12.6635
19.1821 12.6665
19.1811 12.6695
19.1802 12.6725
19.1793 12.6756
19.1784 12.6786
19.1774 12.6816
19.1765 12.6846
19.1756 12.6877
19.1747 12.6907
19.1737 12.6937
19.1728 12.6967
19.1719 12.6998
19.1709 12.7028
19.17 12.7058
